,index,query,name,place_id,google_id,full_address,borough,street,postal_code,area_service,country_code,country,city,us_state,state,plus_code,latitude,longitude,time_zone,popular_times,site,phone,type,logo,description,located_in,located_google_id,category,subtypes,posts,reviews_tags,rating,reviews,photos_count,cid,reviews_link,reviews_id,photo,street_view,working_hours_old_format,working_hours_Monday,working_hours_Tuesday,working_hours_Wednesday,working_hours_Thursday,working_hours_Friday,working_hours_Saturday,working_hours_Sunday,other_hours,business_status,about_Service options_Outdoor seating,about_Service options_Takeout,about_Service options_Dine-in,about_Service options_Delivery,about_Highlights_Fast service,about_Popular for_Lunch,about_Popular for_Dinner,about_Popular for_Solo dining,about_Accessibility_Wheelchair accessible entrance,about_Accessibility_Wheelchair accessible parking lot,about_Accessibility_Wheelchair accessible seating,about_Offerings_Alcohol,about_Offerings_Beer,about_Offerings_Comfort food,about_Offerings_Kids' menu,about_Offerings_Quick bite,about_Offerings_Small plates,about_Dining options_Lunch,about_Dining options_Dinner,about_Dining options_Dessert,about_Dining options_Seating,about_Amenities_Good for kids,about_Amenities_Restroom,about_Atmosphere_Casual,about_Atmosphere_Cozy,about_Crowd_Groups,about_Payments_Debit cards,about_Payments_NFC mobile payments,about_Payments_Credit cards,range,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,reservation_links,booking_appointment_link,menu_link,order_links,owner_id,verified,owner_title,owner_link,location_link,about_Service options_Curbside pickup,about_Accessibility_Wheelchair accessible restroom,about_Offerings_Coffee,about_Offerings_Healthy options,about_Offerings_Vegetarian options,about_Offerings_Wine,about_Amenities_High chairs,about_Crowd_College students,about_Crowd_Tourists,about_Highlights_Great coffee,about_Popular for_Breakfast,about_Dining options_Breakfast,about_Dining options_Brunch,other_hours_0_happy_hours_Monday,other_hours_0_happy_hours_Tuesday,other_hours_0_happy_hours_Wednesday,other_hours_0_happy_hours_Thursday,other_hours_0_happy_hours_Friday,other_hours_0_happy_hours_Saturday,other_hours_0_happy_hours_Sunday,other_hours_1_brunch_Monday,other_hours_1_brunch_Tuesday,other_hours_1_brunch_Wednesday,other_hours_1_brunch_Thursday,other_hours_1_brunch_Friday,other_hours_1_brunch_Saturday,other_hours_1_brunch_Sunday,about_Highlights_Great dessert,about_Offerings_Cocktails,about_Offerings_Hard liquor,about_Dining options_Catering,about_Amenities_Bar onsite,about_Planning_Accepts reservations,about_From the business_Identifies as Latino-owned,about_From the business_Identifies as women-owned,about_Highlights_Sports,about_Crowd_Family-friendly,about_Other_Identifies as women-owned,about_Other_Identifies as Latino-owned,about_Service options_Online appointments,about_Service options_Onsite services,about_Planning_Appointment required,about
0,0,95608 CA Restaurants,Tugboat Fish & Chips,ChIJHQ5GfyHcmoARUYfBIO-e0us,0x809adc217f460e1d:0xebd29eef20c18751,"7601 Fair Oaks Blvd, Carmichael, CA 95608",,7601 Fair Oaks Blvd,95608,False,US,United States of America,Carmichael,California,California,,38.6371897,-121.32547609999999,America/Los_Angeles,,,+1 916-944-4911,Seafood restaurant,https://lh6.googleusercontent.com/-31dn-np7fu4/AAAAAAAAAAI/AAAAAAAAAAA/VuT_LnvbzGs/s44-p-k-no-ns-nd/photo.jpg,,,,restaurants,Seafood restaurant,,,4.8,581,163,16992819093906229073,https://search.google.com/local/reviews?placeid=ChIJHQ5GfyHcmoARUYfBIO-e0us&q=95608+CA+Restaurants&authuser=0&hl=en&gl=US,-1453924979803322543,https://lh5.googleusercontent.com/p/AF1QipMd54mSqsIte7cgdd2C6CZVztL4o8mJZVDnTrRB=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMd54mSqsIte7cgdd2C6CZVztL4o8mJZVDnTrRB=w1600-h1000-k-no,Monday: Closed | Tuesday: 11 AM-8 PM | Wednesday: 11 AM-8 PM | Thursday: 11 AM-8 PM | Friday: 11 AM-8 PM | Saturday: 11 AM-8 PM | Sunday: Closed,Closed,11 AM-8 PM,11 AM-8 PM,11 AM-8 PM,11 AM-8 PM,11 AM-8 PM,Closed,,OPERATIONAL,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,$,5,4,18,74,480,,,,,117360235264547023820,True,Tugboat Fish & Chips,https://www.google.com/maps/contrib/117360235264547023820,"https://www.google.com/maps/place/Tugboat+Fish+%26+Chips/@38.6371897,-121.32547609999999,14z/data=!4m8!1m2!2m1!1sTugboat+Fish+%26+Chips!3m4!1s0x809adc217f460e1d:0xebd29eef20c18751!8m2!3d38.6371897!4d-121.32547609999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,95608 CA Restaurants,Skip's Kitchen,ChIJ0wg5hvXbmoARtERbLlHuO1c,0x809adbf5863908d3:0x573bee512e5b44b4,"4717 El Camino Ave, Carmichael, CA 95608",,4717 El Camino Ave,95608,False,US,United States of America,Carmichael,California,California,,38.610352999999996,-121.35444899999999,America/Los_Angeles,,http://www.skipskitchen.com/,+1 916-514-0830,Hamburger restaurant,https://lh5.googleusercontent.com/-UcgpViwXJls/AAAAAAAAAAI/AAAAAAAAAAA/8hFN-Q02Kew/s44-p-k-no-ns-nd/photo.jpg,Gourmet sandwiches & burgers served in a family-friendly diner with outdoor picnic tables.,,,Hamburger restaurant,Hamburger restaurant,,,4.8,1463,385,6285879737363154100,https://search.google.com/local/reviews?placeid=ChIJ0wg5hvXbmoARtERbLlHuO1c&q=95608+CA+Restaurants&authuser=0&hl=en&gl=US,6285879737363154100,https://lh5.googleusercontent.com/p/AF1QipNdW7cJZGNX78AKA6Tyzsz7JnZYV0l3hGJ31qCV=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNdW7cJZGNX78AKA6Tyzsz7JnZYV0l3hGJ31qCV=w1600-h1000-k-no,Monday: 11 AM-9 PM | Tuesday: 11 AM-9 PM | Wednesday: 11 AM-9 PM | Thursday: 11 AM-9 PM | Friday: 11 AM-9 PM | Saturday: 11 AM-9 PM | Sunday: Closed,11 AM-9 PM,11 AM-9 PM,11 AM-9 PM,11 AM-9 PM,11 AM-9 PM,11 AM-9 PM,Closed,,OPERATIONAL,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,$$,8,10,41,177,1227,,,,,100278656481285994582,True,Skip's Kitchen,https://www.google.com/maps/contrib/100278656481285994582,"https://www.google.com/maps/place/Skip%27s+Kitchen/@38.610352999999996,-121.35444899999999,14z/data=!4m8!1m2!2m1!1sSkip%27s+Kitchen!3m4!1s0x809adbf5863908d3:0x573bee512e5b44b4!8m2!3d38.610352999999996!4d-121.35444899999999",True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,95608 CA Restaurants,Hungry Hollow,ChIJy6yQWZTemoARntdANIgwbjo,0x809ade945990accb:0x3a6e30883440d79e,"4766 Manzanita Ave, Carmichael, CA 95608",,4766 Manzanita Ave,95608,False,US,United States of America,Carmichael,California,California,,38.6517202,-121.32598899999999,America/Los_Angeles,,http://www.hungryhollowcafe.com/,+1 916-487-8167,Breakfast restaurant,https://lh3.googleusercontent.com/-uacHXxeaSRw/AAAAAAAAAAI/AAAAAAAAAAA/VOwW8AnFsmg/s44-p-k-no-ns-nd/photo.jpg,,,,restaurants,Breakfast restaurant,,,4.5,429,162,4210356063188342686,https://search.google.com/local/reviews?placeid=ChIJy6yQWZTemoARntdANIgwbjo&q=95608+CA+Restaurants&authuser=0&hl=en&gl=US,4210356063188342686,https://lh5.googleusercontent.com/p/AF1QipNrBvig_C5BSw7OGb8j0sl83ej3tLULqSsQ2KsX=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNrBvig_C5BSw7OGb8j0sl83ej3tLULqSsQ2KsX=w1600-h1000-k-no,Monday: 6:45 AM-2:45 PM | Tuesday: 6:45 AM-2:45 PM | Wednesday: 6:45 AM-2:45 PM | Thursday: 6:45 AM-2:45 PM | Friday: 6:45 AM-2:45 PM | Saturday: 6:45 AM-2:45 PM | Sunday: 6:45 AM-2:45 PM,6:45 AM-2:45 PM,6:45 AM-2:45 PM,6:45 AM-2:45 PM,6:45 AM-2:45 PM,6:45 AM-2:45 PM,6:45 AM-2:45 PM,6:45 AM-2:45 PM,,OPERATIONAL,,True,True,False,True,,,True,True,True,True,,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,$,14,7,21,84,303,,,,,118236044822813783246,True,Hungry Hollow,https://www.google.com/maps/contrib/118236044822813783246,"https://www.google.com/maps/place/Hungry+Hollow/@38.6517202,-121.32598899999999,14z/data=!4m8!1m2!2m1!1sHungry+Hollow!3m4!1s0x809ade945990accb:0x3a6e30883440d79e!8m2!3d38.6517202!4d-121.32598899999999",True,True,True,,,,True,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,95608 CA Restaurants,Matteo's Pizza & Bistro,ChIJA33DiHzcmoARTiHaUozl0_U,0x809adc7c88c37d03:0xf5d3e58c52da214e,"5132 Arden Way, Carmichael, CA 95608",,5132 Arden Way,95608,False,US,United States of America,Carmichael,California,California,,38.5946521,-121.345103,America/Los_Angeles,,http://www.pizzamatteo.com/,+1 916-779-0727,Pizza restaurant,,A warm & cheerful space with a lush patio specializing in New American fare with wine & cocktails.,,,restaurants,"Pizza restaurant, Bistro, Restaurant",,,4.6,174,111,17713754150226501966,https://search.google.com/local/reviews?placeid=ChIJA33DiHzcmoARTiHaUozl0_U&q=95608+CA+Restaurants&authuser=0&hl=en&gl=US,-732989923483049650,https://lh5.googleusercontent.com/p/AF1QipNrgxFhMKoVC0GSYQ-1naEw_J15aV6L6xX-KZdM=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNrgxFhMKoVC0GSYQ-1naEw_J15aV6L6xX-KZdM=w1600-h1000-k-no,Monday: Closed | Tuesday: 11:30 AM-8 PM | Wednesday: 11:30 AM-8 PM | Thursday: 11:30 AM-8 PM | Friday: 11:30 AM-8:30 PM | Saturday: 11:30 AM-8:30 PM | Sunday: Closed,Closed,11:30 AM-8 PM,11:30 AM-8 PM,11:30 AM-8 PM,11:30 AM-8:30 PM,11:30 AM-8:30 PM,Closed,,OPERATIONAL,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,,True,$$,1,4,6,40,123,,,,,,False,Matteo's Pizza & Bistro,,"https://www.google.com/maps/place/Matteo%27s+Pizza+%26+Bistro/@38.5946521,-121.345103,14z/data=!4m8!1m2!2m1!1sMatteo%27s+Pizza+%26+Bistro!3m4!1s0x809adc7c88c37d03:0xf5d3e58c52da214e!8m2!3d38.5946521!4d-121.345103",,True,True,True,True,True,True,,,,,,True,Closed,3:30-5:30 PM,3:30-5:30 PM,3:30-5:30 PM,3:30-5:30 PM,3:30-5:30 PM,Closed,Closed,Closed,Closed,Closed,Closed,11:30 AM-2 PM,10 AM-2 PM,True,True,True,True,True,True,,,,,,,,,,
4,4,95608 CA Restaurants,El Chacuaco Taqueria,ChIJVXEk0TzcmoARV73OwN5wksU,0x809adc3cd1247155:0xc59270dec0cebd57,"7739 Fair Oaks Blvd, Carmichael, CA 95608",,7739 Fair Oaks Blvd,95608,False,US,United States of America,Carmichael,California,California,,38.6371256,-121.3218409,America/Los_Angeles,,,+1 916-993-8238,Mexican restaurant,https://lh5.googleusercontent.com/-iazJKzVwYic/AAAAAAAAAAI/AAAAAAAAAAA/FOfQoJ7pc-Y/s44-p-k-no-ns-nd/photo.jpg,,,,restaurants,"Mexican restaurant, Restaurant",,,4.4,144,43,14236565474091384151,https://search.google.com/local/reviews?placeid=ChIJVXEk0TzcmoARV73OwN5wksU&q=95608+CA+Restaurants&authuser=0&hl=en&gl=US,-4210178599618167465,https://lh5.googleusercontent.com/p/AF1QipMnT3NvuZg28Npa3WP4ct5dLic8cvh3K0FZPTXK=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMnT3NvuZg28Npa3WP4ct5dLic8cvh3K0FZPTXK=w1600-h1000-k-no,Monday: 11 AM-8:30 PM | Tuesday: 11 AM-8:30 PM | Wednesday: 11 AM-8:30 PM | Thursday: 11 AM-9:30 PM | Friday: 11 AM-9:30 PM | Saturday: 10 AM-9:30 PM | Sunday: 10 AM-8:30 PM,11 AM-8:30 PM,11 AM-8:30 PM,11 AM-8:30 PM,11 AM-9:30 PM,11 AM-9:30 PM,10 AM-9:30 PM,10 AM-8:30 PM,,OPERATIONAL,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,,True,,True,True,True,True,,6,11,7,19,101,,,,,101479924723254077285,True,El Chacuaco Taqueria,https://www.google.com/maps/contrib/101479924723254077285,"https://www.google.com/maps/place/El+Chacuaco+Taqueria/@38.6371256,-121.3218409,14z/data=!4m8!1m2!2m1!1sEl+Chacuaco+Taqueria!3m4!1s0x809adc3cd1247155:0xc59270dec0cebd57!8m2!3d38.6371256!4d-121.3218409",,,,,True,True,True,,,,,True,,,,,,,,,,,,,,,,,,,True,,,True,True,True,True,True,True,,,,
5,0,95608 CA Real Estate Agents,"eXp Realty of California, Inc.-Raymond Henson",ChIJ7QlUZPPImoAR8H5QrWL126U,0x809ac8f3645409ed:0xa5dbf562ad507ef0,"5921 Landis Ave, Carmichael, CA 95608",,5921 Landis Ave,95608,False,US,United States of America,Carmichael,California,California,,38.6263213,-121.3273023,America/Los_Angeles,,http://www.raymondhenson.com/,+1 916-698-8414,Real estate agency,https://lh5.googleusercontent.com/-h91o_JTUoXQ/AAAAAAAAAAI/AAAAAAAAAAA/bF7mkf8NsIg/s44-p-k-no-ns-nd/photo.jpg,,,,Real estate agency,Real estate agency,,,5.0,20,242,11951415840321076976,https://search.google.com/local/reviews?placeid=ChIJ7QlUZPPImoAR8H5QrWL126U&q=95608+CA+Real+Estate+Agents&authuser=0&hl=en&gl=US,-6495328233388474640,https://lh5.googleusercontent.com/p/AF1QipPB_Dkcze6OBL87g6_WWPIe4cVGpQYwwawTNsO3=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPB_Dkcze6OBL87g6_WWPIe4cVGpQYwwawTNsO3=w1600-h1000-k-no,Monday: 9 AM-7 PM | Tuesday: 9 AM-7 PM | Wednesday: 9 AM-7 PM | Thursday: 9 AM-7 PM | Friday: 9 AM-7 PM | Saturday: 9 AM-7 PM | Sunday: 9 AM-7 PM,9 AM-7 PM,9 AM-7 PM,9 AM-7 PM,9 AM-7 PM,9 AM-7 PM,9 AM-7 PM,9 AM-7 PM,,OPERATIONAL,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,20,,,,,113680313583214210622,True,"eXp Realty of California, Inc.-Raymond Henson",https://www.google.com/maps/contrib/113680313583214210622,"https://www.google.com/maps/place/eXp+Realty+of+California%2C+Inc.-Raymond+Henson/@38.6263213,-121.3273023,14z/data=!4m8!1m2!2m1!1seXp+Realty+of+California%2C+Inc.-Raymond+Henson!3m4!1s0x809ac8f3645409ed:0xa5dbf562ad507ef0!8m2!3d38.6263213!4d-121.3273023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,
6,1,95608 CA Real Estate Agents,Scott Realty Consultants,ChIJn93A0iLcmoAR4wFPhP7qbB8,0x809adc22d2c0dd9f:0x1f6ceafe844f01e3,"6801 Fair Oaks Blvd, Carmichael, CA 95608",,6801 Fair Oaks Blvd,95608,False,US,United States of America,Carmichael,California,California,,38.624611699999996,-121.3287127,America/Los_Angeles,,https://www.search-sacramento-homes.com/,+1 916-606-7772,Real estate consultant,https://lh6.googleusercontent.com/-eNTwNGdBz9g/AAAAAAAAAAI/AAAAAAAAAAA/qmuiaBh_o0o/s44-p-k-no-ns-nd/photo.jpg,,,,Real estate consultant,"Real estate consultant, Real estate agency, Real estate agent",,,4.8,21,286,2264443091522879971,https://search.google.com/local/reviews?placeid=ChIJn93A0iLcmoAR4wFPhP7qbB8&q=95608+CA+Real+Estate+Agents&authuser=0&hl=en&gl=US,2264443091522879971,https://lh5.googleusercontent.com/p/AF1QipMv7APWWNqR2u8xuWwQUMfz8ErgTtTGvBUojtF0=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMv7APWWNqR2u8xuWwQUMfz8ErgTtTGvBUojtF0=w1600-h1000-k-no,Monday: 9 AM-7 PM | Tuesday: 9 AM-7 PM | Wednesday: 9 AM-7 PM | Thursday: 9 AM-7 PM | Friday: 9 AM-7 PM | Saturday: 9 AM-7 PM | Sunday: 12-7 PM,9 AM-7 PM,9 AM-7 PM,9 AM-7 PM,9 AM-7 PM,9 AM-7 PM,9 AM-7 PM,12-7 PM,,OPERATIONAL,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,20,,,,,103995400147526523335,True,Scott Realty Consultants,https://www.google.com/maps/contrib/103995400147526523335,"https://www.google.com/maps/place/Scott+Realty+Consultants/@38.624611699999996,-121.3287127,14z/data=!4m8!1m2!2m1!1sScott+Realty+Consultants!3m4!1s0x809adc22d2c0dd9f:0x1f6ceafe844f01e3!8m2!3d38.624611699999996!4d-121.3287127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,95608 CA Real Estate Agents,Craig Diez Realtor - Diez & Sigg Properties,ChIJMejcDCHcmoARJfOxOb3HB5I,0x809adc210cdce831:0x9207c7bd39b1f325,"7144 Fair Oaks Blvd Unit 7, Carmichael, CA 95608",,7144 Fair Oaks Blvd Unit 7,95608,False,US,United States of America,Carmichael,California,California,,38.630925,-121.32735299999999,America/Los_Angeles,,http://craigdiezproperties.com/,+1 916-425-5884,Real estate agency,https://lh5.googleusercontent.com/-UZIDEJD9fRo/AAAAAAAAAAI/AAAAAAAAAAA/xokkgFxG2Fk/s44-p-k-no-ns-nd/photo.jpg,,,,Real estate agency,"Real estate agency, Real estate consultant",,,4.9,16,8,10522598669905163045,https://search.google.com/local/reviews?placeid=ChIJMejcDCHcmoARJfOxOb3HB5I&q=95608+CA+Real+Estate+Agents&authuser=0&hl=en&gl=US,-7924145403804388571,https://lh5.googleusercontent.com/p/AF1QipMQiXzkAOCjax5vDkY5efB9APiYokZDrg8yF7o_=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMQiXzkAOCjax5vDkY5efB9APiYokZDrg8yF7o_=w1600-h1000-k-no,Monday: 8 AM-6 PM | Tuesday: 8 AM-6 PM | Wednesday: 8 AM-6 PM | Thursday: 8 AM-6 PM | Friday: 8 AM-6 PM | Saturday: 8 AM-6 PM | Sunday: 8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,,OPERATIONAL,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,15,,https://www.craigdiezproperties.com/contact/,,,110549647328161306409,True,Craig Diez Realtor - Diez & Sigg Properties,https://www.google.com/maps/contrib/110549647328161306409,"https://www.google.com/maps/place/Craig+Diez+Realtor+-+Diez+%26+Sigg+Properties/@38.630925,-121.32735299999999,14z/data=!4m8!1m2!2m1!1sCraig+Diez+Realtor+-+Diez+%26+Sigg+Properties!3m4!1s0x809adc210cdce831:0x9207c7bd39b1f325!8m2!3d38.630925!4d-121.32735299999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,95608 CA Real Estate Agents,Rescue Ronnie Sylvia Realtor- EXP Realty,ChIJPy5xgYrbmoAR7RVXW3oDcJs,0x809adb8a81712e3f:0x9b70037a5b5715ed,"5921 Landis Ave, Carmichael, CA 95608",,5921 Landis Ave,95608,False,US,United States of America,Carmichael,California,California,,38.626536099999996,-121.3272221,America/Los_Angeles,,http://www.rescueronnie.com/,+1 916-799-6170,Real estate agent,https://lh6.googleusercontent.com/-fpqWNSRKAsM/AAAAAAAAAAI/AAAAAAAAAAA/O1TizaaN7I0/s44-p-k-no-ns-nd/photo.jpg,,,,Real estate agent,Real estate agent,,,5.0,47,9,11200456097323750893,https://search.google.com/local/reviews?placeid=ChIJPy5xgYrbmoAR7RVXW3oDcJs&q=95608+CA+Real+Estate+Agents&authuser=0&hl=en&gl=US,-7246287976385800723,https://lh5.googleusercontent.com/p/AF1QipPWmwvwSW7HR_Vj2VaNrMskY8eyxVrRsPpqfCsy=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPWmwvwSW7HR_Vj2VaNrMskY8eyxVrRsPpqfCsy=w1600-h1000-k-no,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,OPERATIONAL,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,47,,https://calendly.com/rescueronnie,,,109081644650494403208,True,Rescue Ronnie Sylvia Realtor- EXP Realty,https://www.google.com/maps/contrib/109081644650494403208,"https://www.google.com/maps/place/Rescue+Ronnie+Sylvia+Realtor-+EXP+Realty/@38.626536099999996,-121.3272221,14z/data=!4m8!1m2!2m1!1sRescue+Ronnie+Sylvia+Realtor-+EXP+Realty!3m4!1s0x809adb8a81712e3f:0x9b70037a5b5715ed!8m2!3d38.626536099999996!4d-121.3272221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,95608 CA Real Estate Agents,"SB Realty Group, Inc",ChIJzz5JcT-fa6AR1BCo7s9jHTM,0xa06b9f3f71493ecf:0x331d63cfeea810d4,,,,,True,,,,,,,38.667458499999995,-120.93254139999999,America/Los_Angeles,,http://www.smithburgoon.com/,+1 916-412-6261,Real estate agency,https://lh3.googleusercontent.com/--tGO8NgX0p4/AAAAAAAAAAI/AAAAAAAAAAA/VMrsw4z_8JY/s44-p-k-no-ns-nd/photo.jpg,,,,Real estate agency,"Real estate agency, Service establishment",,,5.0,7,,3683209814972305620,,,,,Monday: 9 AM-5 PM | Tuesday: 9 AM-5 PM | Wednesday: 9 AM-5 PM | Thursday: 9 AM-5 PM | Friday: 9 AM-5 PM | Saturday: 9 AM-5 PM | Sunday: 9 AM-5 PM,9 AM-5 PM,9 AM-5 PM,9 AM-5 PM,9 AM-5 PM,9 AM-5 PM,9 AM-5 PM,9 AM-5 PM,,OPERATIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,7,,,,,104853687709347980602,True,"SB Realty Group, Inc",https://www.google.com/maps/contrib/104853687709347980602,"https://www.google.com/maps/place/SB+Realty+Group%2C+Inc/@38.667458499999995,-120.93254139999999,14z/data=!4m8!1m2!2m1!1sSB+Realty+Group%2C+Inc!3m4!1s0xa06b9f3f71493ecf:0x331d63cfeea810d4!8m2!3d38.667458499999995!4d-120.93254139999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
